"CP08174_T1R_T.ENSEMBL"	"CP09800_T1R_T.ENSEMBL"	"CP07805_T1R_T.ENSEMBL"	"CP07552_T1R_T.ENSEMBL"	"CP06649_T1R_T.ENSEMBL"	"CP10449_T1R_T.ENSEMBL"	"CP07152_T1R_T.ENSEMBL"
"ASCL1"	0.620490267077858	1.61831643925659	-0.769681557975641	0.808449451744393	-0.709998089824891	-0.69078780127802	-0.876788709000287
"NEUROD1"	1.74729995829774	0.86281506538775	-0.924431449381074	-0.75971547908546	0.11333573061571	-0.189628659286391	-0.849675166548278
"POU2F3"	0.89150961708811	-0.333197781907143	-0.57679217973561	-0.895413973812462	-0.161715832966631	1.83301043162603	-0.757400280292296
"YAP1"	0.781632610403055	-1.71736824191097	0.389138831321712	-1.07696763860942	0.210298121446581	0.913420873028066	0.499845444320975
